compound,compound_class,mechanism_of_action,concentration_band,n_condition_dirs,n_active_condition_dirs,condition_dirs
4-aminopyridine,K+ channel blockers,Kv_Blocker_NonSelective,control,11,11,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_0.2OD/Control | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_Round2_0.2OD/Control | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/Water F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/Water F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/Water F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/Water F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/Water F2.1 Starting to overexpose caution | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/Water F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/Water F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/Water F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/Water F2.5
4-aminopyridine,K+ channel blockers,Kv_Blocker_NonSelective,high,11,11,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_0.2OD/1mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_Round2_0.2OD/1mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/500uM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/500uM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/500uM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/500uM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/500uM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/500uM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/500uM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/500uM F2.5 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/500uM F2.6
4-aminopyridine,K+ channel blockers,Kv_Blocker_NonSelective,low,10,10,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_0.2OD/0.25mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_Round2_0.2OD/0.25mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/125uM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/125uM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/125uM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/125uM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/125uM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/125uM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/125uM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/125uM F2.4
4-aminopyridine,K+ channel blockers,Kv_Blocker_NonSelective,mid,12,12,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_0.2OD/0.5mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_Round2_0.2OD/0.5mM | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/250uM F1 caution moved | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/250uM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/250uM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/250uM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/250uM F5 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019/250uM F6 check profile probably not needed | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/250uM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/250uM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/250uM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/250uM F2.4
4-aminopyridine,K+ channel blockers,Kv_Blocker_NonSelective,unknown,1,0,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019/DONT USE
Aminophylline,Methylxanthine derivatives,P1_Antagonist_PDE_Inhibitor,control,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F1 Water Control | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F2 Water control | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F3 Water Control | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F4 water control | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/Control F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/Control F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/Control F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/Control F2.5
Aminophylline,Methylxanthine derivatives,P1_Antagonist_PDE_Inhibitor,high,5,5,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F1 2mM Amino | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F2 2mM Amino | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F3 2mM Amino | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F4 2mM Amino | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/2mM F2.2
Aminophylline,Methylxanthine derivatives,P1_Antagonist_PDE_Inhibitor,low,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F1 0.5mM Amino | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F2 0.5mM Amino | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F3 0.5mM Amino | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F4 0.5mM Amino | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/0.5mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/0.5mM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/0.5mM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/0.5mM F2.4
Aminophylline,Methylxanthine derivatives,P1_Antagonist_PDE_Inhibitor,mid,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F1 1mM Amino | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F2 1mM Amino | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F3 1mM Amino | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/F4 1mM Amino | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/1mM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/1mM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/1mM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/1mM F2.4
Aminophylline,Methylxanthine derivatives,P1_Antagonist_PDE_Inhibitor,unknown,2,0,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016/DONT USE | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016/DONT USE
Amitriptyline,Tricyclic antidepressants,NET_SERT_ReuptakeInhibitor_MultiReceptorAntagonist,control,8,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitripityline Run 1 12 Feb 2018/Water F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitripityline Run 1 12 Feb 2018/Water F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitripityline Run 1 12 Feb 2018/Water F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitripityline Run 1 12 Feb 2018/water F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitriptyline Run 2 13 Feb 2018/Water F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitriptyline Run 2 13 Feb 2018/Water F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitriptyline Run 2 13 Feb 2018/Water F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitriptyline Run 2 13 Feb 2018/Water F2.5
Amitriptyline,Tricyclic antidepressants,NET_SERT_ReuptakeInhibitor_MultiReceptorAntagonist,high,9,8,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitripityline Run 1 12 Feb 2018/125microM F1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitripityline Run 1 12 Feb 2018/125microM F2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitripityline Run 1 12 Feb 2018/125microM F3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitripityline Run 1 12 Feb 2018/125microM F4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitriptyline Run 2 13 Feb 2018/125microM F2.1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitriptyline Run 2 13 Feb 2018/125microM F2.2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitriptyline Run 2 13 Feb 2018/125microM F2.3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitriptyline Run 2 13 Feb 2018/125microM F2.4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitriptyline Run1 analysed by old script DONT USE/Amitriptyline Run1
